,TransactionID,Machine,Day,Medication,Type,AmtRemaining
0,7L4VFXEXSXGO,1,2020-01-02,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,19
1,93E0QZGAX55D,1,2020-01-03,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,17
2,GCQAJC67I4YU,1,2020-01-03,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,15
3,ZOEC0EJDLR81,1,2020-01-04,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,14
4,VK1VOGAOY0TS,1,2020-01-05,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,13
5,FRG0JXI5JT9W,1,2020-01-06,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,11
6,WKUM6F15K6RA,1,2020-01-07,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,8
7,LRKVUONZH3JG,1,2020-01-08,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,7
8,FXDLCEUNUHFX,1,2020-01-09,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,6
9,JAC27IRUSS2Q,1,2020-01-09,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,4
10,7N1ZH17PHUF8,1,2020-01-10,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,1
11,ICQG6AF27O3M,1,2020-01-11,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
12,VTC1COZZN56H,1,2020-01-12,AZITHromycin 200mg/5ml 15ml PWD,Refill,20
13,KTRZJSDO9ZGR,1,2020-01-13,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,17
14,KQ2DGVAA2GRJ,1,2020-01-13,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,14
15,ZZI32IPOZYWL,1,2020-01-14,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,12
16,QNWPV3JIGKP7,1,2020-01-15,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,10
17,WYJXM42UWM8D,1,2020-01-16,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,7
18,2JD5OW7PJSC3,1,2020-01-17,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,4
19,S8RH2OISDQMT,1,2020-01-18,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,1
20,DNONJPXTWG41,1,2020-01-19,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
21,YT33RMQ0VUAZ,1,2020-01-19,AZITHromycin 200mg/5ml 15ml PWD,Refill,20
22,9T8X5IEGHF7W,1,2020-01-20,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,19
23,2C9IU8RA6HJE,1,2020-01-21,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,17
24,0BSQWBEOVPFD,1,2020-01-22,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,14
25,YD8CNAUYLZNM,1,2020-01-23,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,13
26,8QDSUBTDB6OO,1,2020-01-23,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,10
27,NQZT82TRN80D,1,2020-01-24,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,8
28,VI31A3WOF4V9,1,2020-01-25,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,5
29,NEBCHY67QDH0,1,2020-01-26,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,3
30,WHV3JNM67VC3,1,2020-01-27,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,2
31,YWH4VILU6HYI,1,2020-01-28,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
32,JZ3J11P3OJIO,1,2020-01-29,AZITHromycin 200mg/5ml 15ml PWD,Refill,20
33,RX9LCDOYNMJ5,1,2020-01-29,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,17
34,S0WAP3K6YWS7,1,2020-01-30,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,15
35,TDVVUE993IN3,1,2020-01-31,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,13
36,TQJ4K6BRHX59,1,2020-02-01,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,12
37,JGWDY7E1J8X0,1,2020-02-02,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,9
38,NEAX4S0AE8DQ,1,2020-02-02,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,8
39,PE2VAPOP3OJQ,1,2020-02-03,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,5
40,USSMRSTB10EE,1,2020-02-04,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,2
41,P967MI7SMUXI,1,2020-02-05,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,1
42,Y6KYUF7VTXZP,1,2020-02-06,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
43,GMG62MVG4QH8,1,2020-02-07,AZITHromycin 200mg/5ml 15ml PWD,Refill,20
44,S9AKM479VW5Y,1,2020-02-08,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,17
45,SEUUQDV6ZIX8,1,2020-02-08,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,15
46,17SWAKCPL18N,1,2020-02-09,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,13
47,KUORV77JPS31,1,2020-02-10,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,11
48,C02HBPNJYB6U,1,2020-02-11,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,10
49,ART5DRVNGL33,1,2020-02-12,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,9
50,AAGMGJIPILVU,1,2020-02-12,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,7
51,LIJIYTKU5RZ8,1,2020-02-13,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,4
52,O1YEY3DVLBAC,1,2020-02-14,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,2
53,M0OK1XS1JOK4,1,2020-02-15,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
54,FXQGRYDVORVZ,1,2020-02-16,AZITHromycin 200mg/5ml 15ml PWD,Refill,20
55,WGEC63Z8S38S,1,2020-02-17,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,18
56,Y14W1G1CXGN1,1,2020-02-18,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,15
57,V63XCN44LDPX,1,2020-02-18,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,14
58,DML1H7YZVGS2,1,2020-02-19,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,12
59,2Q01T59EL2U6,1,2020-02-20,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,9
60,HK81I65ZE50Q,1,2020-02-21,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,7
61,7O2JNSJYDBV7,1,2020-02-22,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,6
62,CPNARDVJYNIJ,1,2020-02-22,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,4
63,R9SLMHSBVQTM,1,2020-02-23,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,3
64,HC0G9YVQZRJB,1,2020-02-24,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,1
65,W8U5XZSFM6NH,1,2020-02-25,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
66,OZJDVSCFXX31,1,2020-02-26,AZITHromycin 200mg/5ml 15ml PWD,Refill,20
67,ZJNIARAJVA0W,1,2020-02-27,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,19
68,NW7SFKHGXT6J,1,2020-02-28,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,17
69,XDEUOOVGRFR1,1,2020-02-28,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,16
70,WZAMUF1G4WFV,1,2020-02-29,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,13
71,B0Y71DG8YW8M,1,2020-03-01,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,12
72,E5JHZ9ZITOUF,1,2020-03-02,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,11
73,SZ49N96YR7XV,1,2020-03-03,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,8
74,GUXOZVAWGKHD,1,2020-03-03,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,5
75,RY05Q9P1OK01,1,2020-03-04,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,4
76,YRA5GZXMKVQ4,1,2020-03-05,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,1
77,F62IHRLLU7JH,1,2020-03-06,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
78,IIK4IA21C9OK,1,2020-03-07,AZITHromycin 200mg/5ml 15ml PWD,Refill,20
79,6584VAQX3SR3,1,2020-03-08,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,17
80,3TPCC3OR1QIM,1,2020-03-09,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,15
81,O5D4XPJGLZ1F,1,2020-03-09,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,14
82,MCV00GIPY57H,1,2020-03-10,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,12
83,8LNSTT9VOHYZ,1,2020-03-11,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,10
84,PFHFK2ET0PKZ,1,2020-03-12,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,9
85,IHM1CERZ9P72,1,2020-03-13,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,8
86,VQLB4G2R1ZSH,1,2020-03-13,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,6
87,MC52BWBSWVX3,1,2020-03-14,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,4
88,L2V6PU08VOXQ,1,2020-03-15,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,2
89,EBA6SKPN96FF,1,2020-03-16,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,1
90,LG3O3EH3I96J,1,2020-03-17,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
91,79EQSD4OLJNU,1,2020-03-18,AZITHromycin 200mg/5ml 15ml PWD,Refill,20
92,7UXL6CIWYT91,1,2020-03-19,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,18
93,70C13YDBLF2T,1,2020-03-19,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,15
94,MF8ZG8JJ9DUL,1,2020-03-20,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,12
95,4X5K4T8GPNT9,1,2020-03-21,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,10
96,2L7DWKUVH5J2,1,2020-03-22,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,9
97,Y8N871K0BT0X,1,2020-03-23,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,6
98,VVUB9A9Y3UER,1,2020-03-23,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,5
99,0UALO0GTQUFS,1,2020-03-24,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,2
100,LMZMBQ4J7QKF,1,2020-03-25,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,1
101,LCJ048TW10L9,1,2020-03-26,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
102,4ZC2N4RBMXJ6,1,2020-03-27,AZITHromycin 200mg/5ml 15ml PWD,Refill,20
103,AJA9V8D95LYS,1,2020-03-28,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,19
104,IJ4P1JKH0YZW,1,2020-03-29,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,18
105,S6KGTMQCFYU2,1,2020-03-29,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,17
106,BF4HA4FR3R4Z,1,2020-03-30,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,14
107,RQQPDXPGQGLV,1,2020-03-31,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,11
108,M2RBMUFVS0RS,1,2020-04-01,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,8
109,WHPNNU3H7BKK,1,2020-04-02,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,7
110,0O3SHYIRFNLL,1,2020-04-02,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,4
111,1APW8QTKILWR,1,2020-04-03,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,2
112,KSMTBNIL85V6,1,2020-04-04,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
113,KEU41NHT102W,1,2020-04-05,AZITHromycin 200mg/5ml 15ml PWD,Refill,20
114,RCXP5SC8AWLH,1,2020-04-06,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,19
115,Z4M0EXW8NJLD,1,2020-04-07,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,17
116,Z9FCPTCIQ7K1,1,2020-04-08,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,14
117,0U5B7XJ6QPN7,1,2020-04-08,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,13
118,QHHIQHNES1OW,1,2020-04-09,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,10
119,STKFCTKNGX8W,1,2020-04-10,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,9
120,LVJQNHLCJOV4,1,2020-04-11,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,8
121,KAQ7GIWZ6LRF,1,2020-04-12,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,7
122,BYOEGC6PBTRI,1,2020-04-12,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,6
123,IJDSGZ5TOPLV,1,2020-04-13,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,4
124,FPG8X3H2QFKO,1,2020-04-14,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,2
