TransactionID,Machine,Day,Medication,Type,AmtRemaining
AMSU88UWV02E,1,2020-01-03,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,9
BHLDNNVR773H,1,2020-01-06,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,8
JJB593LA3CQ2,1,2020-01-08,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,7
35RDTX0C1E1L,1,2020-01-11,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,6
6R97T737VT54,1,2020-01-13,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,5
AAMJQOS7608J,1,2020-01-15,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,2
YL4AJ66WBYHW,1,2020-01-18,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
IPUIUHJ5FY5I,1,2020-01-20,AZITHromycin 200mg/5ml 15ml PWD,Refill,10
M0CMD9K3A0P4,1,2020-01-22,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,7
9XSGLG1KXEA7,1,2020-01-25,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,4
0T6LNTSTO3BW,1,2020-01-27,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,1
KHSCS6ZT9RTQ,1,2020-01-30,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
05OH1299ZP52,1,2020-02-01,AZITHromycin 200mg/5ml 15ml PWD,Refill,10
49U6BP55EG0Z,1,2020-02-03,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,8
PFIAOJA3QVDR,1,2020-02-06,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,7
ZHKNB9ZAQVCA,1,2020-02-08,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,4
XIET6D48NWB7,1,2020-02-11,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,1
FKVB90KZVPJ2,1,2020-02-13,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
8N1RW9Q3T4FF,1,2020-02-15,AZITHromycin 200mg/5ml 15ml PWD,Refill,10
7A7TE62FHRSJ,1,2020-02-18,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,8
DECORZIMH259,1,2020-02-20,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,6
JREN1SG5U7QA,1,2020-02-22,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,4
GLONBGKQY6YI,1,2020-02-25,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,3
7FAREZPQBDSF,1,2020-02-27,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,2
W7MFIN95JAE2,1,2020-03-01,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
RIJ4UWDZOPJG,1,2020-03-03,AZITHromycin 200mg/5ml 15ml PWD,Refill,10
90Q3A3XKKSH1,1,2020-03-05,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,8
3HD05U2I72T6,1,2020-03-08,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,5
AF7MBLJL7P6Y,1,2020-03-10,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,2
WHGUGYU1452V,1,2020-03-13,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,0
Y2AYL0Z1NLM1,1,2020-03-15,AZITHromycin 200mg/5ml 15ml PWD,Refill,10
6NOQPUR3AYEE,1,2020-03-17,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,8
2H649EE0J5CT,1,2020-03-20,AZITHromycin 200mg/5ml 15ml PWD,Withdrawal,7
