TransactionID,Machine,Day,Medication,Type,AmtRemaining
FG7VQS35PCUU,1,2020-01-04,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,9
CX336BAF1ILB,1,2020-01-06,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,6
FR2LMOEX28WA,1,2020-01-09,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,3
8IMFV3JKYIAA,1,2020-01-11,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,0
DHMBD01L6T0E,1,2020-01-14,DAPTomycin PFI 50mg/1mL 10mL INJ,Refill,10
PLM5NM9NEHM8,1,2020-01-17,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,9
ZT2XDA8L4TWI,1,2020-01-19,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,8
9C4G4D9AKSDY,1,2020-01-22,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,5
HM70ILXC0FJQ,1,2020-01-24,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,4
Z0TCHMVL5UZK,1,2020-01-27,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,1
Z68XRL23A3LG,1,2020-01-29,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,0
HSJTCZCX6BUK,1,2020-02-01,DAPTomycin PFI 50mg/1mL 10mL INJ,Refill,10
VSIY7YV1NN5Y,1,2020-02-04,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,8
IU8WS2T612M3,1,2020-02-06,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,7
D6QFEG3RZX45,1,2020-02-09,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,5
0WVPRK4ZFD86,1,2020-02-11,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,3
YKZXRN6BZNHL,1,2020-02-14,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,2
WPI3DC4VEF9U,1,2020-02-17,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,0
41FB6E80MOG3,1,2020-02-19,DAPTomycin PFI 50mg/1mL 10mL INJ,Refill,10
BKLZGTWQTSBI,1,2020-02-22,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,7
O4CONF17IH15,1,2020-02-24,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,6
WEUAYPJPIHTB,1,2020-02-27,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,4
2SJNRAVW4NLS,1,2020-03-01,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,1
WDGAUACI9CA5,1,2020-03-03,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,0
KHXLOCFNR9UE,1,2020-03-06,DAPTomycin PFI 50mg/1mL 10mL INJ,Refill,10
TCNNZYVTACBG,1,2020-03-08,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,7
GT8D6KJQKOQ8,1,2020-03-11,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,6
NICB7O2JO8LH,1,2020-03-13,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,4
P2TUOWXFWSF1,1,2020-03-16,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,3
VZLH6CGJVTDW,1,2020-03-19,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,1
JKASBDRKCIN9,1,2020-03-21,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,0
KD10M6G7CQDX,1,2020-03-24,DAPTomycin PFI 50mg/1mL 10mL INJ,Refill,10
T7WFK39Q1XJ3,1,2020-03-26,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,8
2RPFEJ9UVN48,1,2020-03-29,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,5
8DK5TDT62A9W,1,2020-04-01,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,4
PAGU7VIKYN6E,1,2020-04-03,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,2
YE12WPPGND00,1,2020-04-06,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,0
N9XG3QAQDMLG,1,2020-04-08,DAPTomycin PFI 50mg/1mL 10mL INJ,Refill,10
P2M01LSDI20L,1,2020-04-11,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,9
3PWSENUEU1P9,1,2020-04-14,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,8
S1V1UQXLMKZE,1,2020-04-16,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,7
3757D7L5BEIT,1,2020-04-19,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,4
YSKFD6MAT1IT,1,2020-04-21,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,2
FHJONY5KC670,1,2020-04-24,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,0
HLZ5YN6NTFH0,1,2020-04-26,DAPTomycin PFI 50mg/1mL 10mL INJ,Refill,10
27SN3E9ZSL6Q,1,2020-04-29,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,7
6VS51UQ2GDK7,1,2020-05-02,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,4
U0O9EUG4L1AX,1,2020-05-04,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,2
Z05WF9IBY1J4,1,2020-05-07,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,0
9MZNZX1B3FZ6,1,2020-05-09,DAPTomycin PFI 50mg/1mL 10mL INJ,Refill,10
3W1KIY5GJRWC,1,2020-05-12,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,8
P9VZN0BYBP1N,1,2020-05-15,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,5
X2LXVGOYZDF5,1,2020-05-17,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,4
LQHVB7VWRS91,1,2020-05-20,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,1
Q8EU98NQZM50,1,2020-05-22,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,0
9S37RUG8VBS2,1,2020-05-25,DAPTomycin PFI 50mg/1mL 10mL INJ,Refill,10
4V8C51F02140,1,2020-05-28,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,9
I57RB74RAJBH,1,2020-05-30,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,6
ITEUD8V3Z9MZ,1,2020-06-02,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,5
MT459TGPSJA4,1,2020-06-04,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,4
ZYQ86GK3L7Z1,1,2020-06-07,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,1
XO013LET4RRU,1,2020-06-09,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,0
A0VF2X2SX4HU,1,2020-06-12,DAPTomycin PFI 50mg/1mL 10mL INJ,Refill,10
KRF9QFQEU0GS,1,2020-06-15,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,8
SB3N0QD5W2WE,1,2020-06-17,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,7
8E9ZUUE3SZM1,1,2020-06-20,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,4
E2WYT8PQAM1V,1,2020-06-22,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,2
4ZZTFYMB0NDP,1,2020-06-25,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,1
HADYOVD5KM84,1,2020-06-28,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,0
9RM4PDO58ZWQ,1,2020-06-30,DAPTomycin PFI 50mg/1mL 10mL INJ,Refill,10
GF7OC5OLGPDS,1,2020-07-03,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,7
RPC9VL1YI3EJ,1,2020-07-05,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,4
39M1FYN5QN2I,1,2020-07-08,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,2
HIC9X3MX07BV,1,2020-07-11,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,0
VIRR0P64P1VY,1,2020-07-13,DAPTomycin PFI 50mg/1mL 10mL INJ,Refill,10
7SRQVWBA64ZF,1,2020-07-16,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,8
MPG09EJ9TLG9,1,2020-07-18,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,5
HQZN105HGFLX,1,2020-07-21,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,2
8YG57Q4HRE7Z,1,2020-07-24,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,0
66KP6MFLM1UV,1,2020-07-26,DAPTomycin PFI 50mg/1mL 10mL INJ,Refill,10
XRQC6GM5V5NI,1,2020-07-29,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,7
PAN8ZGLJFIRN,1,2020-07-31,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,4
BQCP84K0W4QJ,1,2020-08-03,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,3
DXBI21T7J19C,1,2020-08-05,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,2
S6V8YHHMIGZO,1,2020-08-08,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,0
1MGW9TEUI0YS,1,2020-08-11,DAPTomycin PFI 50mg/1mL 10mL INJ,Refill,10
ELS92IGVKURU,1,2020-08-13,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,9
PR6DB1VXX41S,1,2020-08-16,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,7
N0MO1UQ8VYYQ,1,2020-08-18,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,5
R2QTXPK0BKVZ,1,2020-08-21,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,3
DWSTB21H0UXX,1,2020-08-24,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,1
WHY4VJXMQX78,1,2020-08-26,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,0
B4R040YCM5WS,1,2020-08-29,DAPTomycin PFI 50mg/1mL 10mL INJ,Refill,10
RKQ6FB95QAW4,1,2020-08-31,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,9
3XEV8M66LHIB,1,2020-09-03,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,8
0PJS4KWM2LNC,1,2020-09-06,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,7
XW7XRW2GXG8J,1,2020-09-08,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,6
KKLOH06A324Q,1,2020-09-11,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,5
ER03083GDBO5,1,2020-09-13,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,4
IZ94YEEL2AWP,1,2020-09-16,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,3
Q96NHYCMG9OF,1,2020-09-18,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,2
EEG4E6BTOQ62,1,2020-09-21,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,1
U2LH6E2Z69FX,1,2020-09-24,DAPTomycin PFI 50mg/1mL 10mL INJ,Withdrawal,0
47KWH137N0HY,1,2020-09-26,DAPTomycin PFI 50mg/1mL 10mL INJ,Refill,10
